n,heapsort.ticks
150000,34282497
180000,41820153
210000,49424617
240000,57051651
270000,64773023
300000,72621067
330000,80529756
360000,88501727
390000,96475684
420000,104505285
450000,112531524
480000,120566684
510000,128620178
540000,136779708
570000,145045951
600000,153334452
630000,161639661
660000,169995153
690000,178359927
720000,186731735
750000,195091166
780000,203494157
810000,211893739
840000,220357022
870000,228762488
900000,237191819
930000,245643703
960000,254146917
990000,262557901
1020000,271013588
1050000,279506529
1080000,288131917
1110000,296815726
1140000,305495236
1170000,314191649
1200000,322885418
1230000,331583146
1260000,340324557
1290000,349044561
1320000,357815300
1350000,366626747
1380000,375276412
1410000,384097413
1440000,392899557
1470000,401631331
